Vigencia_Inicio,Vigencia_Fin,Aeropuerto,Nom_Aeropuerto,Gpo_Consumo,Tipo,Tarifa,No.,Descripcion,Precio_Pemex,Descnto_Pemex,Almacenamiento_Origen,Almacenamiento_Base,Almacenamiento_Hidrante,Alm_Horario_Extraordinario,Expedio_Autotanque,Expendio _ispensador,Exp_Horario_extraordinario,Tarifa_Succion,COM_ALM_EXP_AUTOTANQUE,COM_ALM_EXP_HIDRANTE,COM_ALM_EXP_AUTOTANQUE,COM_ALM_EXP_HIDRANTE,ALM_EXP_AUTOTANQUE,ALM_EXP_HIDRANTE,ALM_EXP_AUTOTANQUE,ALM_EXP_HIDRANTE
30112021,06122021,ACA,ACAPULCO,GPO 10-A,10-A,Adicional,101,TURBOSINA, $14.73520 , $-   , $-   , $0.16873 , $-   , $-   , $0.31274 , $-   , $-   , $0.31274 , $15.21667 , $-   , $-   , $-   , $0.48147 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 10-B,10-B,Adicional,101,TURBOSINA, $14.73520 , $-   , $-   , $0.16873 , $-   , $-   , $0.33151 , $-   , $-   , $0.33151 , $15.23544 , $-   , $-   , $-   , $0.50024 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 10-C,10-C,Adicional,101,TURBOSINA, $14.73520 , $-   , $-   , $0.16873 , $-   , $-   , $0.41908 , $-   , $-   , $0.41908 , $15.32301 , $-   , $-   , $-   , $0.58781 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 10-D,10-D,Adicional,101,TURBOSINA, $14.73520 , $-   , $-   , $0.16873 , $-   , $-   , $0.46912 , $-   , $-   , $0.46912 , $15.37305 , $-   , $-   , $-   , $0.63785 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 01-A,1-A,Contractual,101,TURBOSINA, $14.73520 ,-$0.05920 , $-   , $0.16873 , $-   , $-   , $0.31274 , $-   , $-   , $0.31274 , $15.15747 , $-   , $-   , $-   , $0.48147 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 01-B,1-B,Contractual,101,TURBOSINA, $14.73520 ,-$0.05920 , $-   , $0.16873 , $-   , $-   , $0.33151 , $-   , $-   , $0.33151 , $15.17624 , $-   , $-   , $-   , $0.50024 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 01-C,1-C,Contractual,101,TURBOSINA, $14.73520 ,-$0.05920 , $-   , $0.16873 , $-   , $-   , $0.41908 , $-   , $-   , $0.41908 , $15.26381 , $-   , $-   , $-   , $0.58781 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 01-D,1-D,Contractual,101,TURBOSINA, $14.73520 ,-$0.05920 , $-   , $0.16873 , $-   , $-   , $0.46912 , $-   , $-   , $0.46912 , $15.31385 , $-   , $-   , $-   , $0.63785 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 10-A,10-A,Contractual,101,TURBOSINA, $14.73520 , $-   , $-   , $0.16873 , $-   , $-   , $0.31274 , $-   , $-   , $0.31274 , $15.21667 , $-   , $-   , $-   , $0.48147 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 10-B,10-B,Contractual,101,TURBOSINA, $14.73520 , $-   , $-   , $0.16873 , $-   , $-   , $0.33151 , $-   , $-   , $0.33151 , $15.23544 , $-   , $-   , $-   , $0.50024 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 10-C,10-C,Contractual,101,TURBOSINA, $14.73520 , $-   , $-   , $0.16873 , $-   , $-   , $0.41908 , $-   , $-   , $0.41908 , $15.32301 , $-   , $-   , $-   , $0.58781 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 10-D,10-D,Contractual,101,TURBOSINA, $14.73520 , $-   , $-   , $0.16873 , $-   , $-   , $0.46912 , $-   , $-   , $0.46912 , $15.37305 , $-   , $-   , $-   , $0.63785 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 02-A,2-A,Contractual,101,TURBOSINA, $14.73520 ,-$0.29600 , $-   , $0.16873 , $-   , $-   , $0.31274 , $-   , $-   , $0.31274 , $14.92067 , $-   , $-   , $-   , $0.48147 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 02-B,2-B,Contractual,101,TURBOSINA, $14.73520 ,-$0.29600 , $-   , $0.16873 , $-   , $-   , $0.33151 , $-   , $-   , $0.33151 , $14.93944 , $-   , $-   , $-   , $0.50024 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 02-C,2-C,Contractual,101,TURBOSINA, $14.73520 ,-$0.29600 , $-   , $0.16873 , $-   , $-   , $0.41908 , $-   , $-   , $0.41908 , $15.02701 , $-   , $-   , $-   , $0.58781 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 02-D,2-D,Contractual,101,TURBOSINA, $14.73520 ,-$0.29600 , $-   , $0.16873 , $-   , $-   , $0.46912 , $-   , $-   , $0.46912 , $15.07705 , $-   , $-   , $-   , $0.63785 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 03-A,3-A,Contractual,101,TURBOSINA, $14.73520 ,-$0.35520 , $-   , $0.16873 , $-   , $-   , $0.31274 , $-   , $-   , $0.31274 , $14.86147 , $-   , $-   , $-   , $0.48147 , $-   , $-   , $-   
30112021,06122021,ACA,ACAPULCO,GPO 03-B,3-B,Contractual,101,TURBOSINA, $14.73520 ,-$0.35520 , $-   , $0.16873 , $-   , $-   , $0.33151 , $-   , $-   , $0.33151 , $14.88024 , $-   , $-   , $-   , $0.50024 , $-   , $-   , $-   
